id,country,year,population,co2,iso_n3
11,Afghanistan,2023,41454762.0,11.02,004
47,Albania,2023,2811660.0,5.144,008
59,Algeria,2023,46164221.0,178.133,012
71,Andorra,2023,80868.0,0.424,020
83,Angola,2023,36749907.0,20.781,024
95,Anguilla,2023,14435.0,0.145,660
107,Antarctica,2023,,0.0,010
119,Antigua and Barbuda,2023,93333.0,0.645,028
131,Argentina,2023,45538402.0,195.806,032
143,Armenia,2023,2943395.0,7.608,051
155,Aruba,2023,107946.0,0.867,533
203,Australia,2023,26451125.0,382.972,036
215,Austria,2023,9130434.0,58.578,040
227,Azerbaijan,2023,10318210.0,43.937,031
239,Bahamas,2023,399452.0,2.505,044
251,Bahrain,2023,1569674.0,36.527,048
263,Bangladesh,2023,171466986.0,113.427,050
275,Barbados,2023,282348.0,1.192,052
287,Belarus,2023,9115680.0,56.491,112
299,Belgium,2023,11712894.0,83.368,056
311,Belize,2023,411115.0,0.668,084
323,Benin,2023,14111035.0,5.592,204
335,Bermuda,2023,64721.0,0.523,060
347,Bhutan,2023,786387.0,1.713,064
359,Bolivia,2023,12244161.0,23.359,068
383,Bosnia and Herzegovina,2023,3185071.0,20.179,070
395,Botswana,2023,2480242.0,6.714,072
407,Brazil,2023,211140731.0,486.47,076
419,British Virgin Islands,2023,39008.0,0.185,092
443,Bulgaria,2023,6795804.0,36.094,100
455,Burkina Faso,2023,23025778.0,6.187,854
467,Burundi,2023,13689455.0,0.71,108
479,Cambodia,2023,17423881.0,20.178,116
491,Cameroon,2023,28372688.0,9.941,120
503,Canada,2023,39299099.0,549.299,124
527,Central African Republic,2023,5152417.0,0.281,140
551,Chad,2023,19319073.0,3.079,148
563,Chile,2023,19658834.0,77.288,152
575,China,2023,1422584937.0,11902.503,156
587,Christmas Island,2023,,0.0,162
599,Colombia,2023,52321152.0,105.239,170
611,Comoros,2023,850390.0,0.449,174
623,Congo,2023,6182889.0,7.674,178
635,Cook Islands,2023,14243.0,0.073,184
